lnSa,lnSaRatio,lnDs,lnSDR1,lnSDR2,lnSDR3,lnSDR4,lnSDR5,lnSDR6,lnSDR7,lnSDR8,lnSDR9,lnSDR10,lnSDR11,lnSDR12,lnPFA1,lnPFA2,lnPFA3,lnPFA4,lnPFA5,lnPFA6,lnPFA7,lnPFA8,lnPFA9,lnPFA10,lnPFA11,lnPFA12
-2.302585093,-0.172594071,3.324856148,-5.40704354,-5.227186249,-5.41419971,-5.61651638,-5.757797364,-5.851525229,-5.910334431,-5.974564166,-5.964269702,-6.088508629,-6.347939511,-6.815139635,-2.573888183,-2.314473663,-2.094531253,-2.024117842,-1.997588744,-1.906927044,-1.957281213,-2.14705674,-2.174120579,-2.051557329,-1.787889734,-1.635447955
-1.609437912,-0.172594071,3.324856148,-3.820866896,-3.709608831,-3.902379652,-4.353711324,-5.016334504,-5.52530831,-5.530476436,-5.610691118,-5.670842986,-5.805277139,-6.095532565,-6.572598193,-1.879186273,-1.617934148,-1.76244511,-1.838398336,-1.873387606,-1.717107631,-1.624253153,-1.686440913,-1.798664369,-1.798958595,-1.635178179,-1.393728296
-1.560647748,-0.172594071,3.324856148,-3.759911546,-3.634360966,-3.76593762,-4.137249976,-4.842252938,-5.477173734,-5.450366589,-5.545525665,-5.607863389,-5.752491742,-6.06270709,-6.539507559,-1.858299474,-1.682140899,-1.786138928,-1.934374503,-1.871827429,-1.71559013,-1.593620903,-1.670398968,-1.791936639,-1.741054539,-1.609412013,-1.354801717
-1.514127733,-0.172594071,3.324856148,-3.737666418,-3.580330028,-3.680653381,-3.993205946,-4.647447406,-5.368529553,-5.391545116,-5.475142854,-5.544693721,-5.711432663,-6.036926456,-6.511869237,-1.862211949,-1.671237548,-1.728856904,-1.898353585,-1.833439769,-1.737946972,-1.580212345,-1.670287486,-1.768401153,-1.67556139,-1.582027596,-1.328176955
-1.46967597,-0.172594071,3.324856148,-3.729393163,-3.566502542,-3.641301453,-3.907363876,-4.419379653,-5.175772354,-5.328636378,-5.391088572,-5.483789481,-5.672359392,-6.014499834,-6.490453831,-1.872184403,-1.664031404,-1.688099699,-1.859015587,-1.841900192,-1.698247897,-1.581494764,-1.678278169,-1.781629139,-1.661852351,-1.57378606,-1.308901746
-1.427116356,-0.172594071,3.324856148,-3.574447806,-3.483508911,-3.606120439,-3.845790607,-4.290067518,-4.964172121,-5.245611071,-5.277423178,-5.430517075,-5.639515553,-5.992713327,-6.472459561,-1.813986011,-1.683618206,-1.667371341,-1.822178624,-1.79990914,-1.656435588,-1.589609893,-1.676555255,-1.72312097,-1.633351466,-1.557362612,-1.293572824
-1.386294361,-0.172594071,3.324856148,-3.462340075,-3.365399829,-3.568795069,-3.81311929,-4.219356917,-4.810466452,-5.160953079,-5.174845653,-5.386768325,-5.613685862,-5.972607465,-6.456482227,-1.729632071,-1.722036275,-1.655964711,-1.782546408,-1.763091217,-1.623374254,-1.571854722,-1.639187125,-1.668571398,-1.619180897,-1.544015941,-1.279973934
-1.347073648,-0.172594071,3.324856148,-3.397043023,-3.300278415,-3.51700225,-3.796282053,-4.179497304,-4.722759615,-5.072663369,-5.073171022,-5.351401738,-5.594572079,-5.958486355,-6.444927333,-1.697773894,-1.763062526,-1.646622987,-1.760403865,-1.736803427,-1.602492393,-1.550905152,-1.615768448,-1.634791583,-1.608464546,-1.53313178,-1.271071218
-1.30933332,-0.172594071,3.324856148,-3.345635909,-3.249033531,-3.471950373,-3.776050844,-4.13032828,-4.603601417,-4.928113355,-4.983690585,-5.298135383,-5.580796995,-5.945443929,-6.43282008,-1.607578727,-1.667456423,-1.642817137,-1.733250158,-1.709647539,-1.581886488,-1.528749904,-1.592329214,-1.611418633,-1.579798647,-1.525362939,-1.261277489
-1.272965676,-0.172594071,3.324856148,-3.325759723,-3.22112836,-3.432536357,-3.747687227,-4.06641038,-4.488890502,-4.802292739,-4.914545873,-5.219049728,-5.571933496,-5.932867391,-6.419420693,-1.534704833,-1.587115746,-1.648571089,-1.702541129,-1.680864647,-1.553232136,-1.502232943,-1.569028747,-1.582438441,-1.574658692,-1.52343369,-1.248802935
-1.237874356,-0.172594071,3.324856148,-3.401384399,-3.247779542,-3.460199258,-3.722667909,-4.036464409,-4.437683118,-4.724682591,-4.8603528,-5.157211979,-5.571770486,-5.923084663,-6.409413252,-1.481347026,-1.54920766,-1.664744211,-1.676099726,-1.650567517,-1.522409917,-1.475354029,-1.544137252,-1.560745186,-1.585171161,-1.520783771,-1.239125483
-2.302585093,-0.040969347,3.916015027,-5.766239963,-5.613641998,-5.624055817,-5.627574495,-5.64822384,-5.732472115,-5.728506613,-5.514539923,-5.484018227,-5.683474093,-6.01630247,-6.54335525,-1.706567413,-1.632862166,-1.594773877,-1.62229803,-1.672654678,-1.809140415,-1.729499184,-1.721426288,-1.756342825,-1.610457597,-1.521247271,-1.363086859
-1.609437912,-0.040969347,3.916015027,-4.889034223,-4.447978421,-4.477480825,-4.700610074,-4.944785758,-4.996581513,-4.661065633,-4.180301223,-4.100783246,-4.240721536,-4.650542099,-5.932079281,-1.094742551,-1.165933231,-1.131975445,-1.039889013,-1.085382397,-1.060954269,-1.107015796,-1.208637035,-1.28707856,-1.275577587,-1.123209141,-1.111720358
-1.560647748,-0.040969347,3.916015027,-4.91683489,-4.490699296,-4.546410832,-4.767074011,-4.98321178,-4.850007351,-4.425284928,-4.024570396,-3.965550372,-4.062235616,-4.442728259,-5.991088618,-1.122811046,-1.142376642,-1.096741468,-0.946154684,-1.037612949,-1.058973277,-1.053893002,-1.259706208,-1.294120644,-1.321814115,-1.183396862,-1.034547366
-1.514127733,-0.040969347,3.916015027,-4.909754297,-4.511515922,-4.594289595,-4.87128909,-5.087669158,-4.851395585,-4.244207448,-3.837490838,-3.843705695,-3.941704165,-4.342652087,-5.91515557,-1.146288853,-1.086057398,-1.076869043,-0.888658685,-0.939048381,-1.065739758,-1.032188891,-1.312965914,-1.402333202,-1.331094179,-1.187430765,-0.962681872
-1.46967597,-0.040969347,3.916015027,-4.877498729,-4.459529903,-4.511006117,-4.808554003,-5.211827792,-4.980560606,-4.070796018,-3.703067632,-3.762241858,-3.893402449,-4.324384338,-5.914788732,-1.069249643,-1.10230987,-1.1021773,-0.873891118,-0.971326074,-1.093899248,-1.179808862,-1.30940047,-1.371766882,-1.323894879,-1.223395292,-0.942007081
-1.427116356,-0.040969347,3.916015027,-4.700529767,-4.282087186,-4.338254755,-4.639577383,-5.082536856,-4.838228981,-4.051279326,-3.845023453,-3.978312392,-4.047315949,-4.500657029,-5.960175204,-1.057995444,-1.108827456,-1.103074443,-0.890417524,-0.997603886,-1.062459452,-1.18537788,-1.251859466,-1.334983973,-1.270240639,-1.22325446,-0.957142404
-1.386294361,-0.040969347,3.916015027,-4.683045245,-4.265417621,-4.294176943,-4.549830091,-4.875138085,-4.934396736,-4.062886594,-3.940098458,-4.011495335,-4.114267717,-4.567306162,-6.001296725,-0.985540325,-1.112752191,-1.100525539,-0.937188752,-1.077720931,-1.090671869,-1.247656887,-1.294876751,-1.264922849,-1.187464732,-1.201145069,-0.990618879
-1.347073648,-0.040969347,3.916015027,-4.412782793,-4.184192686,-4.258231486,-4.551108228,-4.909588871,-4.812292761,-4.227562861,-4.239097539,-3.977217742,-4.19983842,-4.63313457,-5.962651654,-0.929423731,-1.154874354,-1.09609022,-0.982138924,-1.0473019,-1.125241895,-1.252566147,-1.313534098,-1.21921398,-1.179463405,-1.20438729,-0.991854148
-1.30933332,-0.040969347,3.916015027,-3.815577107,-3.613133966,-3.906737001,-4.520231789,-4.828145002,-4.794367728,-4.267891132,-3.905077184,-4.068688511,-4.253267612,-4.747930318,-5.922117605,-0.841767983,-1.177191422,-1.079137274,-1.024915656,-1.053543844,-1.115601162,-1.226339712,-1.140122489,-1.199605253,-1.167705066,-1.22888559,-0.994805426
