Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.26,0.959858552,50.2,0.0121214,0.0152345,0.0141473,0.0105555,0.00737552,0.0081292,0.0145879,0.0144206,0.0187377,0.014998,0.00972423,0.00257308,0.394781145,0.315097125,0.334175084,0.374509195,0.350883191,0.324573945,0.285770526,0.268868169,0.295462315,0.307443667,0.29987568,0.370888371
0.27,0.959858552,50.2,0.022025,0.0269672,0.020106,0.0108865,0.00800135,0.00827623,0.0140113,0.0201394,0.0170998,0.0142177,0.00866962,0.00267952,0.430947941,0.308142968,0.33988863,0.358826729,0.348699819,0.327718208,0.293364413,0.31977985,0.301313131,0.311080031,0.292618493,0.36979539
0.28,0.959858552,50.2,0.0277489,0.0299368,0.0201956,0.0115718,0.00808497,0.00880749,0.0136026,0.0199339,0.0177293,0.0144158,0.00870219,0.00277494,0.457855478,0.332740223,0.346428386,0.345519296,0.353149443,0.332849003,0.29979539,0.281036001,0.306169386,0.30967107,0.302395752,0.373364413
0.29,0.959858552,50.2,0.0253898,0.0295125,0.0213133,0.0114898,0.00882192,0.00968054,0.0145298,0.0207705,0.018189,0.0147021,0.00893414,0.00286014,0.481377881,0.346096866,0.352994043,0.331885522,0.355115255,0.335651386,0.306415436,0.291844082,0.311481481,0.305571096,0.303765864,0.374739705
0.1,0.868159987,73.65,0.00563085,0.006662,0.00480486,0.00360592,0.00318789,0.00305219,0.00303875,0.00284401,0.00263632,0.00235012,0.00184897,0.00116752,0.123518001,0.136488733,0.155845895,0.173509713,0.180118881,0.160731417,0.121195027,0.116608392,0.120565657,0.143120953,0.17217871,0.208806009
0.11,0.868159987,73.65,0.00664291,0.00846393,0.00634548,0.00413707,0.00360688,0.00346539,0.00372851,0.00348328,0.00297497,0.00250258,0.00192355,0.00120483,0.132107744,0.142926703,0.159743849,0.174847967,0.185547009,0.171212121,0.130147889,0.121509972,0.129039886,0.147732712,0.180928516,0.213401191
0.12,0.868159987,73.65,0.00769993,0.00997536,0.00769642,0.00484011,0.00405003,0.00392823,0.00452638,0.00422893,0.00328906,0.00259363,0.00193334,0.00120412,0.136559959,0.15022792,0.161266511,0.175084175,0.188783217,0.180019943,0.14118907,0.129881378,0.141966848,0.154430199,0.185593111,0.21204662
0.13,0.868159987,73.65,0.0103859,0.0124903,0.00970596,0.00634456,0.0045901,0.00426586,0.00460665,0.00433906,0.00337058,0.00261694,0.00190008,0.00120857,0.138778814,0.152364413,0.162892515,0.172605284,0.189239575,0.187003367,0.152466459,0.148809635,0.151473193,0.167417767,0.186377363,0.214051282
0.14,0.868159987,73.65,0.0179974,0.0197766,0.0148039,0.00853185,0.00459784,0.00392333,0.00406305,0.00403027,0.00347583,0.00262171,0.00194908,0.00125533,0.134426055,0.146732453,0.16373323,0.172856773,0.189324786,0.189975136,0.162518001,0.156105672,0.155825434,0.177498057,0.176314944,0.226024087
0.15,0.868159987,73.65,0.0256467,0.0286705,0.022906,0.0128947,0.00580161,0.0040688,0.00430252,0.00438815,0.00364727,0.00265497,0.00196733,0.00127627,0.131749547,0.143205387,0.162207459,0.176443667,0.190385651,0.191966589,0.168857291,0.169497021,0.163468272,0.187361564,0.182346542,0.233454027
