Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,1.969893879,13.41,0.0055354,0.00766538,0.00697981,0.00502294,0.00347566,0.00299147,0.00278036,0.00246571,0.00225312,0.00194078,0.00151542,0.000990959,0.107497798,0.104420616,0.111707848,0.121062419,0.128985496,0.125213934,0.137760425,0.132808858,0.131838902,0.117817923,0.140096089,0.160852111
0.169,0.999480453,8.24,0.0063104,0.00925944,0.00973475,0.00857585,0.00758732,0.00683214,0.00743361,0.00645881,0.00455526,0.00319301,0.00236426,0.00150882,0.268746439,0.248799275,0.240507382,0.24034447,0.219464646,0.223452732,0.191601917,0.19971769,0.190334628,0.191170163,0.205615126,0.26951049
0.169,1.955068529,6.605,0.00567494,0.00694751,0.00599933,0.00532399,0.00527573,0.00669204,0.00940849,0.00914423,0.00750041,0.00507437,0.00290592,0.00151656,0.262856773,0.252907796,0.265760166,0.275402745,0.252465423,0.260826211,0.228526289,0.219434602,0.22203885,0.211909091,0.224186998,0.283180523
0.169,1.468491753,5.81,0.0072596,0.00894154,0.00796695,0.00709943,0.00616249,0.00633575,0.00675657,0.00685803,0.00541553,0.00370217,0.00260197,0.00158739,0.271046361,0.257244496,0.258309246,0.308401968,0.231427868,0.222407407,0.25584201,0.216964517,0.206892774,0.234357938,0.22665812,0.285887076
0.169,1.124370469,7.78,0.00758436,0.00946005,0.0075164,0.00502422,0.00414896,0.00434742,0.00437162,0.00396196,0.00402453,0.00357776,0.00286544,0.00145916,0.24886532,0.243174048,0.23476949,0.250957524,0.253084952,0.276462056,0.297777778,0.201925667,0.210350686,0.210362082,0.270533541,0.273758094
0.169,1.684963175,16.6,0.0061594,0.00850572,0.007351,0.00539236,0.00396475,0.00325164,0.00325827,0.00315516,0.00284511,0.0023496,0.00183617,0.00118906,0.102457394,0.124183631,0.132392126,0.125918674,0.126491064,0.132536649,0.14517871,0.138681689,0.134694639,0.146186221,0.166139083,0.207065009
0.169,1.739464152,8.13,0.0057626,0.00774603,0.00679054,0.00576357,0.00469498,0.0035741,0.00308413,0.00285166,0.00269574,0.00216723,0.00162703,0.00104011,0.17262445,0.148027972,0.14967884,0.145794095,0.142463092,0.144585859,0.158059311,0.158830096,0.168121989,0.147702927,0.155171976,0.177503756
0.169,2.384561823,13.995,0.00464245,0.00606531,0.00535654,0.00419597,0.0044952,0.00564457,0.00732035,0.00720757,0.00545786,0.00336061,0.00210856,0.00131285,0.149802642,0.136565916,0.107252784,0.124315721,0.118952603,0.115455063,0.114759648,0.155615126,0.160175602,0.179125615,0.187151774,0.217847708
0.169,1.21857446,19.315,0.00495909,0.00606604,0.00477663,0.00380047,0.00359389,0.00364893,0.00507471,0.00536902,0.00481722,0.00374369,0.00246918,0.00145318,0.184066563,0.195690754,0.190168868,0.19466589,0.184286195,0.207018389,0.199440559,0.178117068,0.180822067,0.205912717,0.23375654,0.263597514
0.169,2.357398683,27.105,0.00461982,0.00558091,0.00491232,0.00407206,0.00365911,0.00346715,0.00350718,0.00323349,0.00278646,0.00219134,0.00165665,0.00107593,0.055100751,0.076205128,0.093946387,0.0965338,0.096233618,0.098483553,0.107270914,0.118552707,0.132894846,0.140051541,0.14982129,0.169744885
