Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,2.751062493,2.7,0.00450777,0.006233253,0.006337695,0.006601995,0.006675695,0.006012559,0.005903145,0.005056531,0.003726131,0.002942678,0.002355178,0.001447512,0.196184038,0.172772287,0.177937493,0.17661042,0.189681227,0.161730321,0.222741362,0.202186591,0.183347941,0.188333598,0.198712873,0.269036742
0.169,2.743176962,5.085,0.004674971,0.005851737,0.004868073,0.003983425,0.003526722,0.003488088,0.004362952,0.004735387,0.003868091,0.002650295,0.001806472,0.001177316,0.147521241,0.135255361,0.11996524,0.122601336,0.132779772,0.128637099,0.15040891,0.153967869,0.148399578,0.174784727,0.169143566,0.202204548
0.169,2.738804973,8.31,0.006516244,0.007620309,0.005893069,0.00488044,0.004260534,0.004453715,0.004720849,0.004890787,0.004241808,0.004281401,0.004911054,0.003358358,0.74745136,0.654005853,0.615359752,0.509135302,0.501658171,0.453579539,0.48083727,0.434460295,0.504181844,0.412281248,0.334163818,0.47185597
0.169,2.685646545,15.51,0.004549651,0.005997648,0.005314302,0.004204682,0.003970191,0.003526077,0.003727776,0.003486109,0.003794297,0.003615355,0.002553746,0.001435853,0.313625524,0.270839502,0.246383377,0.257367459,0.276494245,0.269025651,0.311450907,0.297418482,0.223466112,0.195320668,0.25225734,0.31548143
0.169,2.684385914,30.54,0.005543737,0.007567983,0.007155915,0.006272192,0.005029198,0.003846779,0.004002605,0.003912075,0.003140219,0.002627942,0.001962105,0.001270537,0.288632805,0.251929019,0.234513802,0.233266366,0.219453022,0.219380746,0.18839517,0.216499484,0.214156954,0.188381948,0.184794763,0.237990129
0.169,2.689799133,51.395,0.004171522,0.004595168,0.004427828,0.004360091,0.004646155,0.004431109,0.006041512,0.007902571,0.007132716,0.004376358,0.002474864,0.001566811,0.479625279,0.47696646,0.400662626,0.365144185,0.351308677,0.388579357,0.329705607,0.320663216,0.266006706,0.26258109,0.247618291,0.352772986
0.169,2.78948215,81.29,0.004984462,0.006118226,0.00497095,0.004044908,0.004010605,0.0036662,0.003598008,0.003384805,0.002901831,0.002293358,0.001743961,0.001126035,0.091165465,0.105906193,0.117271012,0.124069472,0.119795498,0.123544129,0.131159288,0.120285623,0.135842983,0.142110251,0.161367109,0.191860658
0.169,1.233390237,2.775,0.007241723,0.010208014,0.010750752,0.010395832,0.008889269,0.00735054,0.007464441,0.00758541,0.006294566,0.004190057,0.002604577,0.001543656,0.260853616,0.235230202,0.256388853,0.225152468,0.242914501,0.228486713,0.200539311,0.217431691,0.217212367,0.215020104,0.210982085,0.271200632
0.169,1.205867284,4.965,0.007737171,0.01021904,0.009323367,0.007057103,0.004976745,0.004009426,0.004552853,0.004055303,0.003126068,0.002376011,0.001777299,0.001141657,0.130326791,0.122592626,0.117130132,0.12557697,0.128070803,0.129240207,0.127740741,0.143054447,0.144786708,0.144535887,0.161428609,0.185751736
0.169,1.190999202,8.83,0.005097397,0.007005233,0.007155315,0.006732868,0.006044786,0.005097862,0.005223138,0.006001103,0.00529754,0.003851738,0.002312053,0.001322286,0.237298824,0.243823618,0.245930896,0.213613792,0.19068114,0.193155902,0.182551385,0.171617506,0.177717594,0.219036063,0.247517312,0.258963421
